#,url,name,Description
1,/v2/profile,Account Profile,This is your profile information
2,/v2/accountXuid,Account XUID,This is your account XUID (Xbox Account User ID)
3,/v2/messages,Account Messages,These are your message with full preview…
4,/v2/conversations,Account Conversations,These are your conversations with full preview of the last message sent/recieved…
5,/v2/xuid/{gamertag},Gamertag XUID,This is the XUID for a specified Gamertag (Xbox Account User ID)
6,/v2/gamertag/{xuid},XUID Gamertag,This is the Gamertag for a specified XUID (Xbox Account User ID)
7,/v2/{xuid}/profile,Profile,This is the Profile for a specified XUID
8,/v2/{xuid}/gamercard,Gamercard,This is the Gamercard information for a specified XUID
9,/v2/{xuid}/presence,Presence,This is the current presence information for a specified XUID
10,/v2/{xuid}/activity,Activity,This is the current activity information for a specified XUID
11,/v2/{xuid}/activity/recent,Recent Activity,This is the recent activity information for a specified XUID
12,/v2/{xuid}/friends,Friends,This is the friends information for a specified XUID
13,/v2/{xuid}/followers,Followers,This is the followers information for a specified XUID
14,/v2/recent-players,Recent Players,This is accounts recent players information
15,/v2/{xuid}/game-clips,Users Game Clips,This is the game clips for a specified XUID
16,/v2/{xuid}/game-clips/saved,Users Saved Game Clips,This is the saved game clips for a specified XUID
17,/v2/{xuid}/game-clips/{titleId},Users Game Clips For Specified Game,This is the saved game clips for a specified XUID, and Game (titleId)
18,/v2/game-clips/{titleId},Game Clips For Specified Game,This is the saved game clips for a specified Game (titleId)
19,/v2/{xuid}/screenshots,Users Screenshots,This is the screenshots for a specified XUID
20,/v2/{xuid}/screenshots/{titleId},Users Screenshots For Specified Game,This is the saved screenshots for a specified XUID, and Game (titleId)
21,/v2/screenshots/{titleId},Screenshots For Specified Game,This is the saved screenshots for a specified Game (titleId)
22,/v2/{xuid}/game-stats/{titleId},Game Stats,This is the game stats for a specified XUID, on a specified game. (i.e. Driver Level on Forza etc.)
23,/v2/{xuid}/xbox360games,Xbox 360 Games,This is the Xbox 360 Games List for a specified XUID
24,/v2/{xuid}/xboxonegames,Xbox ONE Games,This is the Xbox One Games List for a specified XUID
25,/v2/{xuid}/achievements/{titleId},Xbox Game Achievements,This is the Xbox Games Achievements for a specified XUID
26,/v2/game-details-hex/{game_id},Xbox Game Information (Game ID in HEX),This is the Xbox Game Information (using the game id in hex format)
27,/v2/game-details/{product_id},Xbox Game Information (Product ID),This is the Xbox Game Information (using the product id)
28,/v2/game-details/{product_id}/addons/1,Xbox Game Addon (DLC) Information (Product ID),This is the Xbox Game Information (using the product id)
29,/v2/game-details/{product_id}/related,Xbox Related Game Information (Product ID),This is the Xbox Game Information (using the product id)
30,/v2/latest-xbox360-games,Latest Xbox 360 Games,This gets the latest Xbox 360 Games from the Xbox LIVE marketplace
31,/v2/latest-xboxone-games,Latest Xbox One Games,This gets the latest Xbox One Games from the Xbox LIVE marketplace
32,/v2/latest-xboxone-apps,Latest Xbox One Apps,This gets the latest Xbox One Apps from the Xbox LIVE marketplace
33,/v2/xboxone-gold-lounge,Xbox One Gold Lounge,These are the free Games with Gold, and Deals with Gold from the Xbox LIVE marketplace
34,/v2/browse-marketplace/xbox360/1?sort=releaseDate,Browse Xbox 360 Marketplace,Browse the Xbox LIVE marketplace for Xbox 360 content.
35,/v2/browse-marketplace/games/1?sort=releaseDate,Browse Xbox One Marketplace,Browse the Xbox LIVE marketplace for Xbox One Game content.
36,/v2/browse-marketplace/apps/1?sort=releaseDate,Browse Xbox One Marketplace Apps,Browse the Xbox LIVE marketplace for Xbox One App content.
37,/v2/activity-feed,Activity Feed,Show your activity feed.
38,/v2/{xuid}/titlehub-achievement-list,TitleHub Achievements List,Show your achievements list by game with friends who also play. (New TitleHub endpoint)
39,/v2/clubs/owned,Clubs I Own,Show clubs that you are an owner of
40,/v2/clubs/joined/{xuid},Clubs I Have Joined,Show clubs that you have joined - Note that the XUID is optional
41,/v2/clubs/details/{club_id},Club Details,Show all information about a club
42,/v2/clubs/search/name/{search_query},Search For Club By Name,You search for clubs by name
43,/v2/clubs/search/titles/{search_query},Search For Club By Titles,You search for clubs by title id's (comma seperated for multiple)
44,/v2/clubs/search/tags/{search_query},Search For Club By Tags,You search for clubs by tag's (comma seperated for multiple) - Note that not all tags are known
45,/v2/xbox-activity-feed,Xbox Sponsored Activity Feed,This is the Xbox sponsored activity feed
46,/v2/{xuid}/add-as-friend,Add Friend,This XUID will be added as a friend (NOTE: This is a GET request, and will add djekl as a friend)
47,/v2/{xuid}/title-history,Profile Title History,Use this endpoint with an XUID to find the title history of a user
48,/v2/{xuid}/alternative-game-clips,Alternative Game Clips,This is a new endpoint for game clips, however the data structure is different, and can be used instead of the existing one
49,/v2/{xuid}/alternative-screenshots,Alternative Screenshots,This is a new endpoint for screenshots, however the data structure is different, and can be used instead of the existing one
